ASN,Name,T1,Peer ASNs,% of all ASNs,Non-Unique Peer ASNs,% Non-Unique Peer ASNs,Unique Peer ASNs,% Unique Peer ASNs,Peering Overlap 174,% Peering Overlap 174,Peering Overlap 701,% Peering Overlap 701,Peering Overlap 1273,% Peering Overlap 1273,Peering Overlap 1299,% Peering Overlap 1299,Peering Overlap 2914,% Peering Overlap 2914,Peering Overlap 3257,% Peering Overlap 3257,Peering Overlap 3320,% Peering Overlap 3320,Peering Overlap 3356,% Peering Overlap 3356,Peering Overlap 3491,% Peering Overlap 3491,Peering Overlap 4637,% Peering Overlap 4637,Peering Overlap 5511,% Peering Overlap 5511,Peering Overlap 6453,% Peering Overlap 6453,Peering Overlap 6461,% Peering Overlap 6461,Peering Overlap 6762,% Peering Overlap 6762,Peering Overlap 6830,% Peering Overlap 6830,Peering Overlap 6939,% Peering Overlap 6939,Peering Overlap 7018,% Peering Overlap 7018,Peering Overlap 7473,% Peering Overlap 7473,Peering Overlap 9002,% Peering Overlap 9002,Peering Overlap 9498,% Peering Overlap 9498,Peering Overlap 12956,% Peering Overlap 12956,Peering Overlap 13786,% Peering Overlap 13786,Peering Overlap 14840,% Peering Overlap 14840,Peering Overlap 20473,% Peering Overlap 20473,Peering Overlap 24482,% Peering Overlap 24482,Peering Overlap 35280,% Peering Overlap 35280,Peering Overlap 36236,% Peering Overlap 36236,Peering Overlap 37468,% Peering Overlap 37468,Peering Overlap 37721,% Peering Overlap 37721,Peering Overlap 39120,% Peering Overlap 39120,Peering Overlap 49544,% Peering Overlap 49544,Peering Overlap 52320,% Peering Overlap 52320,Peering Overlap 64289,% Peering Overlap 64289,Peering Overlap 199524,% Peering Overlap 199524
6461,Zayo,True,2871,3.27,2238,77.95,634,22.08,1018,35.46,225,7.84,97,3.38,547,19.05,384,13.38,422,14.70,132,4.60,1175,40.93,175,6.10,210,7.31,115,4.01,165,5.75,X,X,168,5.85,131,4.56,998,34.76,247,8.60,85,2.96,495,17.24,559,19.47,83,2.89,148,5.15,488,17.00,82,2.86,688,23.96,671,23.37,730,25.43,539,18.77,519,18.08,545,18.98,770,26.82,500,17.42,377,13.13,521,18.15
6762,TI Sparkle,True,783,0.89,729,93.10,55,7.02,400,51.09,52,6.64,90,11.49,332,42.40,203,25.93,203,25.93,90,11.49,343,43.81,182,23.24,127,16.22,132,16.86,161,20.56,168,21.46,X,X,98,12.52,559,71.39,45,5.75,74,9.45,315,40.23,395,50.45,120,15.33,129,16.48,404,51.60,63,8.05,477,60.92,370,47.25,398,50.83,304,38.83,328,41.89,431,55.04,487,62.20,296,37.80,224,28.61,483,61.69
6830,Liberty Global,True,338,0.38,263,77.81,76,22.49,119,35.21,44,13.02,75,22.19,159,47.04,115,34.02,101,29.88,84,24.85,138,40.83,86,25.44,89,26.33,79,23.37,81,23.96,131,38.76,98,28.99,X,X,230,68.05,43,12.72,54,15.98,184,54.44,169,50.00,70,20.71,55,16.27,164,48.52,56,16.57,201,59.47,168,49.70,190,56.21,161,47.63,159,47.04,174,51.48,212,62.72,151,44.67,149,44.08,178,52.66
6939,Hurricane Electric,True,11173,12.72,10013,89.62,1161,10.39,3085,27.61,131,1.17,156,1.40,1769,15.83,1108,9.92,971,8.69,310,2.77,2002,17.92,469,4.20,397,3.55,271,2.43,407,3.64,998,8.93,559,5.00,230,2.06,X,X,148,1.32,202,1.81,2548,22.80,3703,33.14,193,1.73,558,4.99,4585,41.04,541,4.84,7218,64.60,4941,44.22,6002,53.72,2405,21.53,2990,26.76,4982,44.59,6475,57.95,2013,18.02,1826,16.34,4780,42.78
7018,AT&T,True,2434,2.77,1209,49.67,1226,50.37,289,11.87,331,13.60,49,2.01,94,3.86,84,3.45,109,4.48,36,1.48,811,33.32,57,2.34,63,2.59,35,1.44,53,2.18,247,10.15,45,1.85,43,1.77,148,6.08,X,X,36,1.48,56,2.30,88,3.62,46,1.89,38,1.56,40,1.64,29,1.19,62,2.55,77,3.16,73,3.00,57,2.34,54,2.22,43,1.77,85,3.49,56,2.30,40,1.64,69,2.83
7473,SingTel,False,266,0.30,242,90.98,25,9.40,128,48.12,49,18.42,56,21.05,140,52.63,147,55.26,75,28.20,59,22.18,142,53.38,122,45.86,126,47.37,66,24.81,114,42.86,85,31.95,74,27.82,54,20.30,202,75.94,36,13.53,X,X,178,66.92,162,60.90,50,18.80,61,22.93,111,41.73,44,16.54,191,71.80,189,71.05,184,69.17,131,49.25,122,45.86,137,51.50,198,74.44,120,45.11,96,36.09,166,62.41
9002,RETN,False,3330,3.79,2926,87.87,405,12.16,1064,31.95,64,1.92,133,3.99,963,28.92,613,18.41,453,13.60,257,7.72,768,23.06,349,10.48,301,9.04,197,5.92,306,9.19,495,14.86,315,9.46,184,5.53,2548,76.52,56,1.68,178,5.35,X,X,1401,42.07,113,3.39,232,6.97,1409,42.31,165,4.95,2560,76.88,1849,55.53,2121,63.69,1164,34.95,1366,41.02,1713,51.44,2421,72.70,1098,32.97,1071,32.16,1592,47.81
9498,Bharti Airtel,False,5216,5.94,4487,86.02,730,14.00,1231,23.60,95,1.82,125,2.40,956,18.33,694,13.31,542,10.39,249,4.77,1263,24.21,321,6.15,306,5.87,197,3.78,327,6.27,559,10.72,395,7.57,169,3.24,3703,70.99,88,1.69,162,3.11,1401,26.86,X,X,153,2.93,436,8.36,3536,67.79,200,3.83,4062,77.88,3523,67.54,3777,72.41,1669,32.00,1811,34.72,3780,72.47,3656,70.09,1674,32.09,975,18.69,3280,62.88
12956,Telxius,True,306,0.35,260,84.97,47,15.36,141,46.08,43,14.05,65,21.24,135,44.12,106,34.64,83,27.12,60,19.61,172,56.21,98,32.03,81,26.47,72,23.53,91,29.74,83,27.12,120,39.22,70,22.88,193,63.07,46,15.03,50,16.34,113,36.93,153,50.00,X,X,90,29.41,145,47.39,48,15.69,151,49.35,149,48.69,166,54.25,132,43.14,128,41.83,146,47.71,164,53.59,132,43.14,80,26.14,155,50.65
13786,Seaborn,False,662,0.75,645,97.43,18,2.72,282,42.60,43,6.50,48,7.25,223,33.69,176,26.59,149,22.51,47,7.10,351,53.02,107,16.16,103,15.56,59,8.91,101,15.26,148,22.36,129,19.49,55,8.31,558,84.29,38,5.74,61,9.21,232,35.05,436,65.86,90,13.60,X,X,460,69.49,75,11.33,586,88.52,535,80.82,593,89.58,451,68.13,337,50.91,437,66.01,523,79.00,458,69.18,156,23.56,598,90.33
