ASN,Name,T1,Reachable Pfxs,Covered by Any Other Network,% Covered by Any Other Network,Not Covered by Any Other Network,% Not Covered by Any Other Network,Covered By 174,% Covered By 174,Covered By 701,% Covered By 701,Covered By 1273,% Covered By 1273,Covered By 1299,% Covered By 1299,Covered By 2914,% Covered By 2914,Covered By 3257,% Covered By 3257,Covered By 3320,% Covered By 3320,Covered By 3356,% Covered By 3356,Covered By 3491,% Covered By 3491,Covered By 4637,% Covered By 4637,Covered By 5511,% Covered By 5511,Covered By 6453,% Covered By 6453,Covered By 6461,% Covered By 6461,Covered By 6762,% Covered By 6762,Covered By 6830,% Covered By 6830,Covered By 6939,% Covered By 6939,Covered By 7018,% Covered By 7018,Covered By 7473,% Covered By 7473,Covered By 9002,% Covered By 9002,Covered By 9498,% Covered By 9498,Covered By 12956,% Covered By 12956,Covered By 13786,% Covered By 13786,Covered By 14840,% Covered By 14840,Covered By 20473,% Covered By 20473,Covered By 24482,% Covered By 24482,Covered By 35280,% Covered By 35280,Covered By 36236,% Covered By 36236,Covered By 37468,% Covered By 37468,Covered By 39120,% Covered By 39120,Covered By 49544,% Covered By 49544,Covered By 52320,% Covered By 52320,Covered By 64289,% Covered By 64289,Covered By 199524,% Covered By 199524
5511,Orange,True,1000200,1000194,100.00,6,0.00,997052,99.69,994303,99.41,994639,99.44,998570,99.84,998427,99.82,997994,99.78,997113,99.69,999626,99.94,998728,99.85,981123,98.09,X,X,997493,99.73,997822,99.76,997567,99.74,997071,99.69,997405,99.72,996335,99.61,998212,99.80,997364,99.72,998556,99.84,997196,99.70,996620,99.64,997173,99.70,995776,99.56,997167,99.70,997151,99.70,996398,99.62,997025,99.68,996994,99.68,997233,99.70,996627,99.64,997035,99.68,997272,99.71
6453,Tata,True,1000705,1000690,100.00,15,0.00,997002,99.63,992787,99.21,995095,99.44,998205,99.75,998134,99.74,997882,99.72,997385,99.67,999932,99.92,998941,99.82,981400,98.07,997809,99.71,X,X,997550,99.68,997923,99.72,997463,99.68,997585,99.69,996696,99.60,996716,99.60,997717,99.70,997285,99.66,997500,99.68,997126,99.64,997738,99.70,994073,99.34,997682,99.70,997689,99.70,996891,99.62,997564,99.69,997499,99.68,997801,99.71,997117,99.64,997617,99.69,997851,99.71
6461,Zayo,True,997785,997783,100.00,2,0.00,995573,99.78,991564,99.38,992952,99.52,996588,99.88,996616,99.88,996454,99.87,996111,99.83,997455,99.97,996807,99.90,980236,98.24,996641,99.89,996027,99.82,X,X,996310,99.85,996207,99.84,996207,99.84,995473,99.77,995480,99.77,996282,99.85,995910,99.81,996241,99.85,995723,99.79,996246,99.85,992938,99.51,996250,99.85,996286,99.85,995529,99.77,996093,99.83,996067,99.83,996315,99.85,995796,99.80,996160,99.84,996336,99.85
6762,TI Sparkle,True,1003396,1003394,100.00,2,0.00,999795,99.64,995243,99.19,998769,99.54,1001125,99.77,1000654,99.73,1000792,99.74,999992,99.66,1002232,99.88,1002574,99.92,983973,98.06,1000326,99.69,1000361,99.70,1000282,99.69,X,X,1000045,99.67,1000303,99.69,999294,99.59,999118,99.57,1000377,99.70,999676,99.63,1000299,99.69,999722,99.63,1000412,99.70,996503,99.31,1000221,99.68,1000182,99.68,999425,99.60,1000201,99.68,1000070,99.67,1000384,99.70,999748,99.64,1000232,99.68,1000398,99.70
6830,Liberty Global,True,993544,993543,100.00,1,0.00,992273,99.87,988004,99.44,989560,99.60,993107,99.96,993263,99.97,993254,99.97,993172,99.96,993465,99.99,993338,99.98,977074,98.34,992978,99.94,993071,99.95,993321,99.98,993255,99.97,X,X,993206,99.97,992524,99.90,991685,99.81,993327,99.98,992132,99.86,993267,99.97,992778,99.92,993320,99.98,989173,99.56,993319,99.98,993329,99.98,992529,99.90,993117,99.96,993140,99.96,993347,99.98,992782,99.92,993175,99.96,993355,99.98
6939,Hurricane Electric,True,1020896,1020893,100.00,3,0.00,1016905,99.61,1012649,99.19,1015492,99.47,1018000,99.72,1018289,99.74,1018147,99.73,1017494,99.67,1019956,99.91,1019362,99.85,1001164,98.07,1017702,99.69,1017515,99.67,1017667,99.68,1017766,99.69,1017562,99.67,X,X,1016785,99.60,1016700,99.59,1018015,99.72,1017273,99.65,1017544,99.67,1017372,99.65,1017857,99.70,1014172,99.34,1018207,99.74,1018235,99.74,1017495,99.67,1017652,99.68,1017849,99.70,1018239,99.74,1017225,99.64,1017649,99.68,1018467,99.76
7018,AT&T,True,994575,994573,100.00,2,0.00,993062,99.85,988758,99.42,990008,99.54,993984,99.94,993939,99.94,993951,99.94,993944,99.94,994502,99.99,994074,99.95,977799,98.31,993674,99.91,993736,99.92,993994,99.94,993923,99.93,993964,99.94,993862,99.93,X,X,992351,99.78,993970,99.94,992812,99.82,993942,99.94,993429,99.88,993984,99.94,989833,99.52,993974,99.94,993981,99.94,993185,99.86,993769,99.92,993803,99.92,993994,99.94,993450,99.89,993840,99.93,993992,99.94
7473,SingTel,False,999674,999674,100.00,0,0.00,996077,99.64,994492,99.48,993657,99.40,997755,99.81,997662,99.80,997164,99.75,996175,99.65,998957,99.93,997750,99.81,980474,98.08,998592,99.89,996793,99.71,997057,99.74,996758,99.71,996148,99.65,996793,99.71,995385,99.57,X,X,996850,99.72,998727,99.91,996226,99.66,995981,99.63,996556,99.69,996553,99.69,996653,99.70,996619,99.69,995930,99.63,996498,99.68,996389,99.67,996868,99.72,995971,99.63,996488,99.68,996999,99.73
9002,RETN,False,1002771,1002765,100.00,6,0.00,1000161,99.74,995948,99.32,998070,99.53,1001346,99.86,1001299,99.85,1001270,99.85,1000918,99.82,1002420,99.96,1001886,99.91,984976,98.23,1000972,99.82,1000997,99.82,1001079,99.83,1001240,99.85,1001002,99.82,1001340,99.86,1000204,99.74,1000093,99.73,X,X,1000475,99.77,1000952,99.82,1000682,99.79,1001215,99.84,997415,99.47,1001402,99.86,1001397,99.86,1000637,99.79,1001044,99.83,1001126,99.84,1001449,99.87,1000678,99.79,1001113,99.83,1001492,99.87
9498,Bharti Airtel,False,1023931,1023921,100.00,10,0.00,1019322,99.55,1017202,99.34,1017148,99.34,1021439,99.76,1020947,99.71,1020593,99.67,1019369,99.55,1022706,99.88,1021325,99.75,1003370,97.99,1021765,99.79,1020088,99.62,1020271,99.64,1020077,99.62,1019343,99.55,1020116,99.63,1018577,99.48,1021559,99.77,1019983,99.61,X,X,1019459,99.56,1019319,99.55,1019943,99.61,1019284,99.55,1020000,99.62,1020152,99.63,1019484,99.57,1019831,99.60,1019739,99.59,1020356,99.65,1019126,99.53,1019742,99.59,1020509,99.67
12956,Telxius,True,996701,996700,100.00,1,0.00,994765,99.81,990495,99.38,992613,99.59,995732,99.90,995732,99.90,995745,99.90,995542,99.88,996329,99.96,996384,99.97,979424,98.27,995478,99.88,995507,99.88,995740,99.90,995898,99.92,995661,99.90,995574,99.89,994901,99.82,994132,99.74,995672,99.90,994610,99.79,X,X,995182,99.85,995697,99.90,991633,99.49,995674,99.90,995685,99.90,994897,99.82,995557,99.89,995497,99.88,995698,99.90,995193,99.85,995543,99.88,995708,99.90
13786,Seaborn,False,1008787,1008786,100.00,1,0.00,1006555,99.78,1002302,99.36,1004071,99.53,1007437,99.87,1007674,99.89,1007662,99.89,1007380,99.86,1008061,99.93,1007855,99.91,991412,98.28,1007318,99.85,1007498,99.87,1007623,99.88,1007706,99.89,1007539,99.88,1007773,99.90,1006747,99.80,1006264,99.75,1007772,99.90,1006873,99.81,1007553,99.88,X,X,1007947,99.92,1003773,99.50,1007944,99.92,1007925,99.91,1007704,99.89,1008309,99.95,1007785,99.90,1008036,99.93,1007354,99.86,1007756,99.90,1008560,99.98
14840,BR DIGITAL,False,1011197,1011186,100.00,11,0.00,1009453,99.83,1005227,99.41,1006827,99.57,1010392,99.92,1010505,99.93,1010549,99.94,1010242,99.91,1010877,99.97,1010682,99.95,994219,98.32,1010210,99.90,1010409,99.92,1010472,99.93,1010679,99.95,1010384,99.92,1010557,99.94,1009605,99.84,1009174,99.80,1010603,99.94,1009791,99.86,1010378,99.92,1010232,99.90,X,X,1006526,99.54,1010780,99.96,1010732,99.95,1009991,99.88,1010660,99.95,1010663,99.95,1010973,99.98,1010079,99.89,1010711,99.95,1010973,99.98
20473,Constant Company,False,997148,997147,100.00,1,0.00,993869,99.67,993754,99.66,991505,99.43,995445,99.83,995396,99.82,994897,99.77,993921,99.68,996503,99.94,995501,99.83,977850,98.06,996397,99.92,994356,99.72,994754,99.76,994396,99.72,993908,99.68,994530,99.74,993142,99.60,996774,99.96,994445,99.73,996697,99.95,994008,99.69,993740,99.66,994142,99.70,X,X,994325,99.72,994347,99.72,993698,99.65,994045,99.69,994053,99.69,994429,99.73,993666,99.65,994059,99.69,994488,99.73
24482,SG.GS,False,1023235,1023203,100.00,32,0.00,1020975,99.78,1016788,99.37,1018488,99.54,1022005,99.88,1022181,99.90,1022117,99.89,1021886,99.87,1022536,99.93,1022342,99.91,1005585,98.28,1021785,99.86,1021965,99.88,1022062,99.89,1022141,99.89,1022027,99.88,1022556,99.93,1021236,99.80,1020891,99.77,1022442,99.92,1021498,99.83,1021997,99.88,1021888,99.87,1022430,99.92,1018288,99.52,X,X,1022959,99.97,1022118,99.89,1022229,99.90,1022381,99.92,1022853,99.96,1021666,99.85,1022219,99.90,1022951,99.97
35280,F5 Networks,False,1027437,1027398,100.00,39,0.00,1024964,99.76,1020748,99.35,1022516,99.52,1026024,99.86,1026193,99.88,1026102,99.87,1025898,99.85,1026595,99.92,1026387,99.90,1009583,98.26,1025780,99.84,1025997,99.86,1026099,99.87,1026093,99.87,1026038,99.86,1026581,99.92,1025241,99.79,1024868,99.75,1026431,99.90,1025644,99.83,1026008,99.86,1025867,99.85,1026379,99.90,1022322,99.50,1026957,99.95,X,X,1026343,99.89,1026143,99.87,1026316,99.89,1026858,99.94,1025677,99.83,1026160,99.88,1027128,99.97
36236,Net Actuate,False,1033241,1033231,100.00,10,0.00,1030701,99.75,1026505,99.35,1028273,99.52,1031739,99.85,1031945,99.87,1031877,99.87,1031612,99.84,1032337,99.91,1032103,99.89,1015193,98.25,1031535,99.83,1031685,99.85,1031847,99.87,1031849,99.87,1031742,99.85,1032363,99.92,1030947,99.78,1030675,99.75,1032186,99.90,1031487,99.83,1031724,99.85,1032145,99.89,1032147,99.89,1028165,99.51,1032626,99.94,1032850,99.96,X,X,1032020,99.88,1032146,99.89,1032687,99.95,1031447,99.83,1031965,99.88,1033053,99.98
37468,Angola Cables,False,1009234,1009233,100.00,1,0.00,1006905,99.77,1002538,99.34,1004291,99.51,1007759,99.85,1007960,99.87,1007944,99.87,1007611,99.84,1008422,99.92,1008120,99.89,991664,98.26,1007614,99.84,1007829,99.86,1007875,99.87,1008073,99.88,1007769,99.85,1007949,99.87,1006979,99.78,1006684,99.75,1008026,99.88,1007252,99.80,1007816,99.86,1008201,99.90,1008259,99.90,1003991,99.48,1008171,99.89,1008082,99.89,1007464,99.82,X,X,1008151,99.89,1008415,99.92,1007602,99.84,1008248,99.90,1008864,99.96
39120,Convergenze,False,1015784,1015784,100.00,0,0.00,1014088,99.83,1009878,99.42,1011504,99.58,1015044,99.93,1015187,99.94,1015218,99.94,1014932,99.92,1015458,99.97,1015329,99.96,998946,98.34,1014866,99.91,1015040,99.93,1015134,99.94,1015210,99.94,1015072,99.93,1015408,99.96,1014295,99.85,1013850,99.81,1015387,99.96,1014459,99.87,1015044,99.93,1014943,99.92,1015533,99.98,1011275,99.56,1015604,99.98,1015542,99.98,1014861,99.91,1015429,99.97,X,X,1015678,99.99,1014749,99.90,1015425,99.96,1015727,99.99
49544,i3D.net,False,1033260,1033125,99.99,135,0.01,1030609,99.74,1026453,99.34,1028190,99.51,1031741,99.85,1031859,99.86,1031832,99.86,1031462,99.83,1032399,99.92,1032110,99.89,1015126,98.24,1031490,99.83,1031656,99.84,1031746,99.85,1031837,99.86,1031606,99.84,1032190,99.90,1030802,99.76,1030714,99.75,1032044,99.88,1031403,99.82,1031579,99.84,1031533,99.83,1032180,99.90,1028037,99.49,1032410,99.92,1032418,99.92,1031751,99.85,1032027,99.88,1032014,99.88,X,X,1031320,99.81,1031957,99.87,1032800,99.96
52320,GlobeNet,False,999025,999019,100.00,6,0.00,997251,99.82,993017,99.40,994664,99.56,998414,99.94,998332,99.93,998342,99.93,998079,99.91,998831,99.98,998460,99.94,982190,98.31,998002,99.90,998156,99.91,998359,99.93,998602,99.96,998212,99.92,998376,99.94,997437,99.84,996935,99.79,998435,99.94,997450,99.84,998249,99.92,998027,99.90,998555,99.95,994394,99.54,998497,99.95,998511,99.95,997772,99.87,998396,99.94,998358,99.93,998613,99.96,X,X,998450,99.94,998637,99.96
64289,Macarne,False,998646,998640,100.00,6,0.00,996969,99.83,992777,99.41,994433,99.58,997959,99.93,998102,99.95,998113,99.95,997819,99.92,998353,99.97,998247,99.96,981902,98.32,997765,99.91,998011,99.94,998076,99.94,998228,99.96,997960,99.93,998083,99.94,997182,99.85,996810,99.82,998225,99.96,997317,99.87,997939,99.93,997772,99.91,998434,99.98,994144,99.55,998292,99.96,998236,99.96,997536,99.89,998367,99.97,998276,99.96,998477,99.98,997793,99.91,X,X,998539,99.99
199524,G-Core,False,1051254,1051216,100.00,38,0.00,1047848,99.68,1043563,99.27,1045455,99.45,1048954,99.78,1049121,99.80,1049049,99.79,1048690,99.76,1049805,99.86,1049378,99.82,1032301,98.20,1048715,99.76,1048940,99.78,1048954,99.78,1049105,99.80,1048839,99.77,1049613,99.84,1048027,99.69,1048031,99.69,1049314,99.82,1048800,99.77,1048812,99.77,1049280,99.81,1049419,99.83,1045285,99.43,1049745,99.86,1049920,99.87,1049321,99.82,1049699,99.85,1049297,99.81,1050000,99.88,1048570,99.74,1049261,99.81,X,X
