ASN,Name,T1,Reachable Pfxs,Covered by Any Other Network,% Covered by Any Other Network,Not Covered by Any Other Network,% Not Covered by Any Other Network,Covered By 174,% Covered By 174,Covered By 701,% Covered By 701,Covered By 1273,% Covered By 1273,Covered By 1299,% Covered By 1299,Covered By 2914,% Covered By 2914,Covered By 3257,% Covered By 3257,Covered By 3320,% Covered By 3320,Covered By 3356,% Covered By 3356,Covered By 3491,% Covered By 3491,Covered By 4637,% Covered By 4637,Covered By 5511,% Covered By 5511,Covered By 6453,% Covered By 6453,Covered By 6461,% Covered By 6461,Covered By 6762,% Covered By 6762,Covered By 6830,% Covered By 6830,Covered By 6939,% Covered By 6939,Covered By 7018,% Covered By 7018,Covered By 7473,% Covered By 7473,Covered By 9002,% Covered By 9002,Covered By 9498,% Covered By 9498,Covered By 12956,% Covered By 12956,Covered By 13786,% Covered By 13786,Covered By 14840,% Covered By 14840,Covered By 20473,% Covered By 20473,Covered By 24482,% Covered By 24482,Covered By 35280,% Covered By 35280,Covered By 36236,% Covered By 36236,Covered By 37468,% Covered By 37468,Covered By 39120,% Covered By 39120,Covered By 49544,% Covered By 49544,Covered By 52320,% Covered By 52320,Covered By 64289,% Covered By 64289,Covered By 199524,% Covered By 199524
174,Cogent,True,1006334,1006330,100.00,4,0.00,X,X,997519,99.12,1000749,99.45,1002957,99.66,1002531,99.62,1002724,99.64,1001917,99.56,1005053,99.87,1004643,99.83,985872,97.97,1002530,99.62,1002223,99.59,1002244,99.59,1002662,99.64,1001851,99.55,1002129,99.58,1001217,99.49,1001274,99.50,1002130,99.58,1001782,99.55,1001948,99.56,1001451,99.51,1001998,99.57,998742,99.25,1001985,99.57,1001988,99.57,1001219,99.49,1001805,99.55,1001797,99.55,1002039,99.57,1001570,99.53,1001833,99.55,1002041,99.57
701,Verizon,True,987216,987216,100.00,0,0.00,984631,99.74,X,X,981994,99.47,985887,99.87,985926,99.87,985492,99.83,984744,99.75,986868,99.96,985915,99.87,968744,98.13,986891,99.97,985050,99.78,985364,99.81,985100,99.79,984697,99.74,984987,99.77,984026,99.68,986735,99.95,984959,99.77,986693,99.95,984825,99.76,984320,99.71,984814,99.76,985690,99.85,984799,99.76,984764,99.75,984084,99.68,984669,99.74,984619,99.74,984845,99.76,984248,99.70,984652,99.74,984873,99.76
1273,Vodafone,False,1014182,1014174,100.00,8,0.00,1004254,99.02,998159,98.42,X,X,1007886,99.38,1004383,99.03,1005974,99.19,1002348,98.83,1009077,99.50,1013840,99.97,986523,97.27,1003668,98.96,1003544,98.95,1003012,98.90,1004926,99.09,1002238,98.82,1004084,99.00,1001604,98.76,1002265,98.82,1003151,98.91,1003039,98.90,1002920,98.89,1001991,98.80,1002459,98.84,999751,98.58,1002451,98.84,1002477,98.85,1001737,98.77,1002330,98.83,1002213,98.82,1002649,98.86,1002001,98.80,1002324,98.83,1002625,98.86
1299,Telia,True,1019106,1019096,100.00,10,0.00,1008845,98.99,1004654,98.58,1010011,99.11,X,X,1009844,99.09,1011082,99.21,1008583,98.97,1016746,99.77,1013963,99.50,992689,97.41,1010122,99.12,1009117,99.02,1009510,99.06,1009877,99.09,1008387,98.95,1008941,99.00,1007878,98.90,1008880,99.00,1008960,99.00,1009804,99.09,1008616,98.97,1008018,98.91,1008622,98.97,1006259,98.74,1008581,98.97,1008613,98.97,1007807,98.89,1008460,98.96,1008389,98.95,1008830,98.99,1008307,98.94,1008455,98.95,1008778,98.99
2914,NTT,True,1002348,1002345,100.00,3,0.00,997873,99.55,994163,99.18,996437,99.41,999429,99.71,X,X,998813,99.65,998344,99.60,1001481,99.91,1000326,99.80,982113,97.98,999295,99.70,998664,99.63,998684,99.63,998786,99.64,998236,99.59,998844,99.65,997475,99.51,998098,99.58,998539,99.62,998589,99.62,998297,99.60,997845,99.55,998372,99.60,995590,99.33,998447,99.61,998445,99.61,997679,99.53,998231,99.59,998191,99.59,998504,99.62,997835,99.55,998237,99.59,998541,99.62
3257,GTT,True,1004612,1004599,100.00,13,0.00,1000067,99.55,995654,99.11,999417,99.48,1002446,99.78,1000528,99.59,X,X,999964,99.54,1003328,99.87,1003227,99.86,984065,97.95,1000851,99.63,1000189,99.56,1000444,99.59,1000726,99.61,999885,99.53,1000293,99.57,999183,99.46,999646,99.51,1000176,99.56,1000289,99.57,999971,99.54,999568,99.50,1000137,99.55,997134,99.26,1000042,99.55,1000030,99.54,999289,99.47,999972,99.54,999918,99.53,1000258,99.57,999652,99.51,999975,99.54,1000207,99.56
3320,DTAG,True,993822,993822,100.00,0,0.00,992616,99.88,988293,99.44,989921,99.61,993556,99.97,993619,99.98,993579,99.98,X,X,993704,99.99,993685,99.99,977227,98.33,993274,99.94,993250,99.94,993456,99.96,993455,99.96,993414,99.96,993388,99.96,992753,99.89,991973,99.81,993492,99.97,992426,99.86,993404,99.96,992877,99.90,993432,99.96,989460,99.56,993428,99.96,993442,99.96,992654,99.88,993213,99.94,993252,99.94,993456,99.96,992901,99.91,993286,99.95,993459,99.96
3356,Lumen,True,1071559,1063176,99.22,8383,0.78,1045988,97.61,1041028,97.15,1044022,97.43,1051536,98.13,1047176,97.72,1046888,97.70,1044306,97.46,X,X,1049157,97.91,1028015,95.94,1046502,97.66,1046418,97.65,1045896,97.61,1046210,97.63,1044354,97.46,1045820,97.60,1044000,97.43,1045376,97.56,1045551,97.57,1046291,97.64,1044737,97.50,1044109,97.44,1044715,97.49,1042616,97.30,1044747,97.50,1044792,97.50,1043961,97.42,1044676,97.49,1044452,97.47,1045028,97.52,1044235,97.45,1044435,97.47,1045106,97.53
3491,PCCW,True,1030667,1030566,99.99,101,0.01,1019868,98.95,1013864,98.37,1025603,99.51,1023614,99.32,1020027,98.97,1021545,99.11,1017854,98.76,1025428,99.49,X,X,1001921,97.21,1019523,98.92,1019157,98.88,1018597,98.83,1020446,99.01,1017758,98.75,1019679,98.93,1017135,98.69,1018138,98.78,1018697,98.84,1018942,98.86,1018435,98.81,1017503,98.72,1018014,98.77,1015531,98.53,1018040,98.77,1018081,98.78,1017289,98.70,1017897,98.76,1017771,98.75,1018272,98.80,1017519,98.72,1017851,98.76,1018275,98.80
4637,Telstra,False,977419,977416,100.00,3,0.00,975856,99.84,971554,99.40,973165,99.56,976679,99.92,976696,99.93,976654,99.92,976459,99.90,977095,99.97,976899,99.95,X,X,976545,99.91,976487,99.90,976828,99.94,976663,99.92,976594,99.92,976694,99.93,975846,99.84,975512,99.80,976798,99.94,975954,99.85,976549,99.91,976204,99.88,976723,99.93,973035,99.55,976879,99.94,976921,99.95,976089,99.86,976551,99.91,976612,99.92,976882,99.95,976250,99.88,976644,99.92,976900,99.95
